id,title,description,db_name,category,chart_type,vars,vector_dim
1,Dependence ratio,Ratio of older (65+) and young (0-15) people relative to working-age population,e_demographic,population,line,depratio1,
2,Median age of population,Median age — indicates population ageing and demographic structure,e_demographic,population,line,medagepop,
3,Old-age dependency ratio,Ratio of older people (65+) relative to working-age population,e_demographic,population,line,olddep1,
4,Young-age dependency ratio,Ratio of young people (0-15) relative to working-age population,e_demographic,population,line,youngdep1,
5,Average population,Average population in a given year,e_demographic,population,line,avg,
6,Crude net migration rate,Net migration per a thousand population capturing mobility and migration pressure,e_demographic,population,line,cnmigrat,
7,Crude rate of population growth,Total population change per average population,e_demographic,population,line,growrt,
8,Crude rate of natural population change,Natural increase (or decrease) — births minus deaths per population isolating demographic change not due to migration,e_demographic,population,line,natgrowrt,
9,Crude rate of total population change,Total resident population,e_demographic,population,line,poptrt,
10,Pension replacement rate by sex,Ratio between the first pension and the last wage obtained by the worker,e_demographic,population,line,pensarr_f+pensarr_m+pensarr_t,
11,Hist1,Description,e_demographic,population,bar,depratio1,
12,Hist2,Description,e_demographic,population,bar,youngdep1+depratio1,
13,Radar1,Description,e_demographic,population,radar,youngdep1+depratio1+medagepop+fmedagepop+mmedagepop,
14,Area1,Description,e_demographic,population,area,depratio1,
15,Pie1,Description,demographic,population,pie,youngdep1+depratio1+medagepop+fmedagepop+mmedagepop,
16,Pie2,Description,e_demographic,population,pie,youngdep1+depratio1+medagepop+fmedagepop+mmedagepop,
17,Fertility Rate,Total fertility rate,e_demographic,population,line,totferrt,
19,Population by sex,Population at 1 January by Sex,e_demographic,population,line,pop_f_total+pop_m_total+pop_t_total,
20,Population by age,Population at 1 January by Age,e_demographic,population,line,pop_t_y10-14+pop_t_y15-19+pop_t_y20-24+pop_t_y25-29+pop_t_y30-34+pop_t_y35-39+pop_t_y40-44+pop_t_y45-49+pop_t_y5-9+pop_t_y50-54+pop_t_y55-59+pop_t_y60-64+pop_t_y65-69+pop_t_y70-74+pop_t_y75-79+pop_t_y80-84,
21,Population proportion by age,Population proportion at 1 January by age group,e_demographic,population,line,pop-pc_total_y10-14+pop-pc_total_y15-19+pop-pc_total_y20-24+pop-pc_total_y25-29+pop-pc_total_y30-34+pop-pc_total_y35-39+pop-pc_total_y40-44+pop-pc_total_y45-49+pop-pc_total_y5-9+pop-pc_total_y50-54+pop-pc_total_y55-59+pop-pc_total_y60-64+pop-pc_total_y65-69+pop-pc_total_y70-74+pop-pc_total_y75-79+pop-pc_total_y80-84,
22,Hourly Earnings by age,Mean hourly earnings by age,e_earnings,employment,line,earn_y-ge60_total_t_mean_pps+earn_y30-39_total_t_mean_pps+earn_y-lt30_total_t_mean_pps+earn_y40-49_total_t_mean_pps+earn_y50-59_total_t_mean_pps,
27,Hourly Earnings by Sector,Mean hourly earnings by sector,e_earnings,employment,line,earn_total_total_t_mean_pps+earn_total_services_t_mean_pps+earn_total_industry_t_mean_pps,
28,Gender Violence againts Women,"Gender Violence againts Women, in particular Physical or sexual, Threats, Psychological violence",e_gender_violence,gender_violence,hist,vtype-phy_any-perp_perc+vtype-thrt_any-perp_perc+vtype-psy_any-perp_perc+vtype-phy-thrt-nsx_any-perp_perc+vtype-phy-sx_any-perp_perc+vtype-phy-thrt-sx_any-perp_perc+vtype-psy-phy-thrt-sx_any-perp_perc+vtype-psy-thrt_any-perp_perc,
