year;vecch_num;vecch_importo;inv_num;inv_imp;surv_num;surv_imp;complex_num;complex_imp;inv_x100_vecch
1980;3265816;1686;3115267;1333;2088839;921;8469922;1368;95
1981;3361325;2191;3138821;1707;2133824;1156;8633970;1759;93
1982;3470190;2585;3141763;2016;2192795;1394;8804748;2085;91
1983;3585748;3158;3113218;2466;2223369;1676;8922335;2547;87
1984;3728603;3499;2981895;2667;2282057;1847;8992555;2804;80
1985;3846283;3944;2951884;3005;2328246;2075;9126413;3163;77
1986;3975137;4226;2888988;3193;2371020;2262;9235145;3399;73
1987;4095700;4563;2835324;3411;2421394;2501;9352418;3680;69
1988;4226026;4910;2756736;3616;2455054;2735;9437816;3966;65
1989;4360947;5527;2682105;4069;2495928;3116;9538980;4486;62
1990;4490242;6027;2613051;4384;2542344;3431;9645637;4898;58
1991;4664227;6569;2532811;4708;2583519;3745;9780557;5342;54
1992;4892640;6885;2470269;4887;2642562;3937;10005471;5613;50
1993;5049663;7170;2398335;5099;2693528;4174;10141526;5885;47
1994;5130007;7735;2301645;5340;2719184;4390;10150836;6296;45
1995;5260188;7781;2207090;5432;2751872;4520;10219150;6395;42
1996;5358443;8313;2102414;5729;2754193;4901;10215050;6861;39
1997;5401303;8770;2004283;5885;2764508;5153;10170094;7218;37
1998;5429551;9042;1910776;5989;2788396;5251;10128723;7422;35
1999;5480810;9330;1857413;6136;2789258;5362;10127481;7651;34
2000;5435327;9613;1760658;6233;2798840;5444;9994825;7850;32
2001;5458774;9981;1679764;6425;2810865;5675;9949403;8164;31
2002;5527186;10420;1594869;6602;2811900;5852;9933955;8514;29
2003;5554710;10840;1515044;6829;2807937;6086;9877691;8873;27
2004;5596532;11239;1444786;6977;2795729;6251;9837047;9195;26
2005;5582438;11551;1347226;7118;2788160;6416;9717824;9463;24
2006;5638829;11906;1276446;7260;2778949;6558;9694224;9761;23
2007;5660017;12272;1210371;7418;2761809;6727;9632197;10072;21
2008;5677863;12648;1139221;7566;2733151;6895;9550235;10395;20
2009;5650374;13167;1076750;7810;2709969;7134;9437093;10823;19
2010;5633054;13518;1008497;7897;2675892;7240;9317443;11107;18
2011;5587717;13997;947254;8214;2644298;7523;9179269;11535;17
2012;5524559;14280;869342;8159;2598264;7528;8992165;11737;16
2013;5456519;14811;820395;8450;2574167;7841;8851081;12194;15
2014;5366180;15153;788145;8695;2553627;8008;8707952;12473;15
2015;5309453;15496;736234;8790;2500625;8095;8546312;12753;14
2016;5211996;15847;704078;9364;2461799;8313;8377873;13088;14
2017;5162457;16209;667796;9143;2413672;8408;8243925;13353;13
2018;5093983;16670;638466;9284;2366924;8579;8099373;13723;13
2019;5058266;17176;612743;9394;2321963;8748;7992972;14131;12
2020;5036872;17549;580063;9413;2268873;8884;7885808;14457;12
2021;5019426;17824;551958;9407;2226311;9013;7797695;14713;11
2022;4985793;18362;526896;9490;2174201;9338;7686890;15201;11
2023;4976351;19823;509162;10246;2115041;10124;7600554;16482;10
