"name","edition","proddate","idno","cntry","c2weight","w6itq1","w6itq2","w6itq3","w6itq4","w6itq5","w6itq6","w6itq7","w6itq8","w6itq9","w6itq10","w6itq11","w6itq12","w6itq13","w6itq14","w6itq15","w6itq16","w6itq17","w6itq18","w6itq19","w6itq20","w6itq21","w6itq22","w6itq23","w6itq24","w6itq25","w6itq26","w6itq27","w6itq28","w6itq29","w6itq30","w6itq31","w6itq32","w6itq33","w6itq34","w6itq35","w6itq36","w6itq37","w6itq38","w6itq39","w6itq40","w6itq41","w6itq42","w6itq43","w6itq44","w6itq45","w6itq46","w6itq47","w6itq48","w6itq49","w6itq50","w6itq51","w6itq52","w6itq53_1","w6itq53_2","w6itq53_3","w6itq53_4","w6itq53_5","w6itq53_6","w6itq54","w6itq55","survlng","inwds","inwde","intdur","lastansw","surveycomp","fdwrkinc","uagent","device","gndr","agea","eduyrs","eisced","netusoft","mnactic","hincfel","hinctnta","mode","region"
"CRON2W6_IT_e01","1.0","11.07.2023",10027,"IT",0.33116856,1,2,8,8,4,99,4,4,99,99,4,2,1,1,3,4,2,3,2,2,3,3,2,3,3,2,3,3,1,1,3,2,2,2,3,1,1,5,5,1,4,5,5,5,3,4,9,10,10,10,9,3,4,3,4,3,4,3,1,1,"ITA",2023-02-22 14:55:09,2023-02-22 15:15:10,1201,"w6itq55",94,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1",1,2,59,18,6,5,1,2,10,1,"ITC"
"CRON2W6_IT_e01","1.0","11.07.2023",10094,"IT",0.4631133,2,1,3,3,4,4,4,4,4,4,4,1,1,1,1,2,3,3,3,1,1,1,1,4,4,4,4,3,2,2,1,3,3,3,3,3,3,10,5,1,5,5,5,5,7,7,7,10,10,10,10,2,4,1,4,3,3,3,1,2,"ITA",2023-02-24 11:34:09,2023-02-24 11:47:49,820,"w6itq55",100,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",2,1,62,13,4,5,1,8,88,1,"ITC"
"CRON2W6_IT_e01","1.0","11.07.2023",10095,"IT",0.5824761,6,2,5,5,3,3,3,3,3,3,4,2,2,1,3,2,2,2,2,2,5,2,2,3,3,3,3,2,1,3,4,4,2,4,4,4,2,9,2,3,4,3,6,6,8,9,10,9,8,9,9,3,3,1,5,4,3,4,2,2,"ITA",2023-02-22 17:03:48,2023-02-22 17:15:58,730,"w6itq55",100,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1",1,1,61,11,3,5,6,2,7,1,"ITH"
"CRON2W6_IT_e01","1.0","11.07.2023",10223,"IT",0.79559743,8,1,8,8,7,6,6,7,6,7,3,2,2,2,3,4,3,3,3,2,2,2,3,2,2,2,1,1,1,1,3,3,3,3,3,3,3,6,0,1,4,4,5,5,1,5,7,8,8,5,5,3,3,2,4,4,2,5,3,2,"ITA",2023-03-01 16:04:03,2023-03-01 16:12:14,491,"w6itq55",100,1,"Mozilla/5.0 (Linux; Android 13; SM-A528B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36",1,2,34,9,3,5,1,2,77,2,"ITC"
"CRON2W6_IT_e01","1.0","11.07.2023",10292,"IT",1.5089,3,6,8,8,6,2,2,6,6,6,4,2,1,1,3,4,2,2,2,5,5,4,2,3,4,4,3,1,1,1,2,2,3,3,4,3,3,10,5,4,4,3,6,5,7,7,7,8,8,7,8,2,2,2,4,2,2,4,3,2,"ITA",2023-02-23 15:58:37,2023-02-23 16:07:31,534,"w6itq55",100,1,"Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-A715F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36",1,2,45,18,4,5,4,2,2,2,"ITC"
"CRON2W6_IT_e01","1.0","11.07.2023",10313,"IT",3.8136592,6,4,3,3,6,3,2,3,6,5,3,2,2,2,2,5,3,5,3,1,2,1,1,3,3,3,3,1,3,2,4,4,3,3,3,3,4,5,2,6,5,4,7,2,5,3,7,10,10,5,10,3,4,4,2,1,9,3,1,1,"ITA",2023-03-01 16:01:42,2023-03-01 19:32:47,12665,"w6itq55",98,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36 Google-PageRenderer Google (+https://developers.google.com/+/web/snippet/)",2,1,45,12,3,4,1,3,2,2,"ITF"
"CRON2W6_IT_e01","1.0","11.07.2023",10404,"IT",2.7585902,8,2,7,7,1,4,1,7,6,7,4,3,1,1,3,3,3,5,4,1,4,2,2,3,3,3,3,1,1,1,3,3,2,3,3,2,2,10,7,6,4,3,5,2,7,6,8,10,10,7,9,3,3,1,3,3,3,5,1,2,"ITA",2023-02-26 16:02:10,2023-02-26 16:14:54,764,"w6itq55",100,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",1,2,47,8,2,5,8,2,4,1,"ITC"
"CRON2W6_IT_e01","1.0","11.07.2023",10439,"IT",0.643499,8,1,5,5,3,5,7,7,5,5,4,1,1,1,3,1,2,2,2,4,4,3,1,3,2,2,2,3,1,1,3,4,2,3,2,3,2,99,99,3,5,4,5,7,6,8,10,10,10,10,10,3,5,5,5,5,3,5,3,1,"ITA",2023-02-28 10:32:28,2023-02-28 11:13:19,2451,"w6itq55",96,1,"Mozilla/5.0 (Linux; Android 10; HMA-L29) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Mobile Safari/537.36 (Ecosia android@101.0.4951.41)",1,2,43,18,7,5,1,1,9,1,"ITH"
"CRON2W6_IT_e01","1.0","11.07.2023",10457,"IT",0.54813164,4,5,6,5,7,7,5,1,1,1,4,1,1,1,3,5,1,1,1,5,5,2,2,4,4,3,3,2,1,1,5,4,2,2,5,2,4,10,6,1,4,5,10,10,9,9,9,10,10,10,10,3,5,2,5,5,5,5,2,1,"ITA",2023-03-03 18:07:13,2023-03-03 18:17:21,608,"w6itq55",100,1,"Mozilla/5.0 (Linux; Android 12; SM-A025G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36",1,2,54,15,4,5,1,2,7,1,"ITC"
"CRON2W6_IT_e01","1.0","11.07.2023",10466,"IT",0.31757477,5,1,7,8,4,2,1,4,4,4,4,2,1,1,3,2,3,3,2,3,4,2,3,2,3,3,3,1,1,1,2,1,1,1,2,2,2,5,5,1,5,4,0,0,4,7,9,10,10,8,10,2,2,1,5,3,2,5,2,1,"ITA",2023-03-01 16:02:51,2023-03-18 16:21:59,1469948,"w6itq55",100,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36 Google-PageRenderer Google (+https://developers.google.com/+/web/snippet/)",2,1,56,18,7,3,1,1,4,2,"ITF"
"CRON2W6_IT_e01","1.0","11.07.2023",10489,"IT",5.043523,4,8,8,8,7,7,1,4,1,7,4,1,1,1,3,3,1,2,1,4,4,4,2,4,4,3,2,1,1,1,2,2,2,4,4,2,2,2,0,2,5,5,10,5,2,5,8,10,10,10,10,3,1,1,5,2,3,5,2,1,"ITA",2023-02-22 16:53:13,2023-02-22 17:06:00,767,"w6itq55",100,1,"Mozilla/5.0 (Linux; Android 11; Mi A3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36",1,2,53,8,2,3,1,2,6,1,"ITI"
"CRON2W6_IT_e01","1.0","11.07.2023",10660,"IT",1.5491356,3,2,8,2,3,5,2,5,4,4,3,2,2,2,3,3,3,4,3,3,2,1,3,2,2,2,3,1,1,3,3,2,2,2,2,3,2,8,0,4,4,3,8,8,9,9,10,9,9,9,9,3,5,1,5,3,3,4,1,2,"ITA",2023-02-22 15:53:09,2023-02-22 16:10:55,1066,"w6itq55",100,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.50",2,1,54,10,2,5,1,1,8,1,"ITH"
