id,db_name,available_geos,available_periods,db_source
20,e_employment_spec,DE+ES+FR+IT,2018Q1+2020Q4,eurostat
78,e_employment,DE+ES+FR+IT,2018Q1+2023Q4,eurostat
79,e_government,DE+ES+FR+IT,2018+2023,eurostat
80,e_macroeconomic,DE+ES+FR+IT,2018Q1+2023Q4,eurostat
81,e_pollution_industry,DE+ES+FR+IT,2018+2023,eurostat
82,s_health_self,AUT+BEL+BFL+BGR+CAN+CHE+CHL+CZE+DEU+DNK+ENG+ESP+EST+FIN+FRA+HRV+HUN+IRL+ISL+ISR+ITA+JPN+KOR+LTU+LVA+NLD+NOR+NZL+OECD+POL+PRT+SLO+SVK+SWE+USA,2023+2023,Education at a Glance - OECD
83,s_underg_econ,IT,2011+2023,ISTAT
84,s_underg_val,IT,2011+2023,ISTAT
85,s_underg_ula,IT,2011+2023,ISTAT
86,s_press,PRK+CYP+MUS+MNE+PNG+XKO+GHA+NER+ITA+POL+MKD+XCD+SVN+AND+SUR+ARM+GMB+TON+HRV+ROU+BIH+ECU+KEN+LSO+MDV+ISR+HUN+GIN+COM+CHL+CTU+MWI+SRB+MLT+PER+NPL+LBR+PAN+SEN+KGZ+JPN+HTI+BLZ+GEO+SLE+URY+CZE+CAN+NAM+TLS+DEU+ISL+CHE+SYC+LUX+JAM+LIE+LTU+CRI+PRT+IRL+FIN+EST+SWE+NZL+LVA+BEL+GBR+KOR+USA+BFA+MDA+AUS+TWN+CIV+CPV+ZAF+GUY+BTN+ESP+AUT+DOM+ARG+NLD+SVK+FRA+TTO+WSM+MNG+BGR+GNB+AFG+RUS+AZE+BLR+TJK+SDN+IND+TUR+PAK+HKG+LKA+COL+BRN+LBY+KHM+GNQ+SOM+SGP+PHL+KWT+VEN+NIC+ERI+IRN+TKM+MMR+CHN+VNM+CUB+IRQ+SYR+PSE+YEM+EGY+BHR+SAU+HND+DJI+OMN+BGD+LAO+ARE+ZWE+RWA+MAR+MLI+BRA+ZMB+GRC+BDI+UKR+GAB+TCD+ALB+FJI+CAF+TGO+AGO+MDG+MRT+PRY+BWA+TUN+COG+SLV+DNK+MYS+THA+DZA+UZB+UGA+SWZ+LBN+NGA+SSD+MEX+BOL+COD+GTM+TZA+KAZ+BEN+JOR+QAT+CMR+IDN+MOZ+ETH+NOR+XKX+CSS,2022+2025,Reporters without Borders
87,s_literacy,AUT+BFL+CAN+CHE+CHL+CZE+DEU+DNK+ENG+ESP+EST+FIN+FRA+HRV+HUN+IRL+ISR+ITA+JPN+KOR+LTU+LVA+NLD+NOR+NZL+OECD+POL+PRT+SVK+SWE+USA,2023+2023,Education at a Glance - OECD
88,s_numeracy,AUT+BFL+CAN+CHE+CHL+CZE+DEU+DNK+ENG+ESP+EST+FIN+FRA+HRV+HUN+IRL+ISR+ITA+JPN+KOR+LTU+LVA+NLD+NOR+NZL+OECD+POL+PRT+SVK+SWE+USA,2023+2023,Education at a Glance - OECD
89,s_probsolv,AUT+BFL+CAN+CHE+CHL+CZE+DEU+DNK+ENG+ESP+EST+FIN+FRA+HRV+HUN+IRL+ISR+ITA+JPN+KOR+LTU+LVA+NLD+NOR+NZL+OECD+POL+PRT+SVK+SWE+USA,2023+2023,Education at a Glance - OECD
90,s_literacy_sex,AUT+CAN+CHL+CZE+DNK+EST+FIN+FRA+DEU+HUN+IRL+ISR+ITA+JPN+KOR+LVA+LTU+NLD+NZL+NOR+POL+PRT+SVK+ESP+SWE+CHE+USA+ENG+BFL+OECD+HRV,2023+2023,Education at a Glance - OECD
