id,db_name,available_geos,available_periods,db_source
20,e_employment_spec,DE+ES+FR+IT,2018Q1+2020Q4,eurostat
80,e_macroeconomic,DE+ES+FR+IT,2018Q1+2023Q4,eurostat
81,e_pollution_industry,DE+ES+FR+IT,2018+2023,eurostat
82,s_health_self,AUT+BEL+BFL+BGR+CAN+CHE+CHL+CZE+DEU+DNK+ENG+ESP+EST+FIN+FRA+HRV+HUN+IRL+ISL+ISR+ITA+JPN+KOR+LTU+LVA+NLD+NOR+NZL+OECD+POL+PRT+SLO+SVK+SWE+USA,2023+2023,Education at a Glance - OECD
83,s_underg_econ,IT,2011+2023,ISTAT
84,s_underg_val,IT,2011+2023,ISTAT
85,s_underg_ula,IT,2011+2023,ISTAT
87,s_literacy,AUT+BFL+CAN+CHE+CHL+CZE+DEU+DNK+ENG+ESP+EST+FIN+FRA+HRV+HUN+IRL+ISR+ITA+JPN+KOR+LTU+LVA+NLD+NOR+NZL+OECD+POL+PRT+SVK+SWE+USA,2023+2023,Education at a Glance - OECD
88,s_numeracy,AUT+BFL+CAN+CHE+CHL+CZE+DEU+DNK+ENG+ESP+EST+FIN+FRA+HRV+HUN+IRL+ISR+ITA+JPN+KOR+LTU+LVA+NLD+NOR+NZL+OECD+POL+PRT+SVK+SWE+USA,2023+2023,Education at a Glance - OECD
89,s_probsolv,AUT+BFL+CAN+CHE+CHL+CZE+DEU+DNK+ENG+ESP+EST+FIN+FRA+HRV+HUN+IRL+ISR+ITA+JPN+KOR+LTU+LVA+NLD+NOR+NZL+OECD+POL+PRT+SVK+SWE+USA,2023+2023,Education at a Glance - OECD
90,s_literacy_sex,AUT+CAN+CHL+CZE+DNK+EST+FIN+FRA+DEU+HUN+IRL+ISR+ITA+JPN+KOR+LVA+LTU+NLD+NZL+NOR+POL+PRT+SVK+ESP+SWE+CHE+USA+ENG+BFL+OECD+HRV,2023+2023,Education at a Glance - OECD
91,s_literacy_age,AUT+CAN+CHL+CZE+DNK+EST+FIN+FRA+DEU+HUN+IRL+ISR+ITA+JPN+KOR+LVA+LTU+NLD+NZL+NOR+POL+PRT+SVK+ESP+SWE+CHE+USA+ENG+BFL+OECD+HRV,2023+2023,Education at a Glance - OECD
92,s_numeracy_sex,AUT+CAN+CHL+CZE+DNK+EST+FIN+FRA+DEU+HUN+IRL+ISR+ITA+JPN+KOR+LVA+LTU+NLD+NZL+NOR+POL+PRT+SVK+ESP+SWE+CHE+USA+ENG+BFL+OECD+HRV,2023+2023,Education at a Glance - OECD
93,s_numeracy_age,AUT+CAN+CHL+CZE+DNK+EST+FIN+FRA+DEU+HUN+IRL+ISR+ITA+JPN+KOR+LVA+LTU+NLD+NZL+NOR+POL+PRT+SVK+ESP+SWE+CHE+USA+ENG+BFL+OECD+HRV,2023+2023,Education at a Glance - OECD
