year;contr_rate
1950;20.02
1951;21.52
1952;13.29
1953;9.18
1954;9.18
1955;9.25
1956;9.38
1957;9.38
1958;11.77
1959;11.76
1960;15.91
1961;15.91
1962;19.28
1963;22.03
1964;19.01
1965;18.71
1966;18.56
1967;18.91
1968;19.60
1969;20.56
1970;20.56
1971;18.91
1972;19.01
1973;19.01
1974;19.95
1975;20.73
1976;23.31
1977;23.31
1978;23.31
1979;23.31
1980;23.89
1981;24.01
1982;24.16
1983;24.51
1984;24.51
1985;24.51
1986;25.51
1987;25.51
1988;25.51
1989;25.92
1990;25.92
1991;26.09
1992;26.47
1993;26.97
1994;26.97
1995;27.12
1996;32.70
1997;32.70
1998;33.00
1999;33.00
2000;33.00
2001;33.00
2002;33.00
2003;33.00
2004;33.00
2005;33.00
2006;33.00
2007;33.00
2008;33.00
2009;33.00
2010;33.00
2011;33.00
2012;33.00
2013;33.00
2014;33.00
2015;33.00
2016;33.00
2017;33.00
2018;33.00
2019;33.00
2020;33.00
2021;33.00
2022;33.00
2023;33.00
2024;33.00
2025;33.00
