year;threshold_higher;tax_rate
1985;5681.03;18.0
1985;12394.97;27.0
1985;15493.71;35.0
1985;19625.36;37.0
1985;30987.41;41.0
1985;61974.83;47.0
1985;129114.22;56.0
1985;258228.45;62.0
1985;over;65.0
1988;3098.74;12.0
1988;5681.03;22.0
1988;14460.79;27.0
1988;25822.84;34.0
1988;51645.69;41.0
1988;77468.53;48.0
1988;154937.07;53.0
1988;309874.14;58.0
1988;over;62.0
1989;3098.74;10.0
1989;6197.48;22.0
1989;15493.71;26.0
1989;30987.41;33.0
1989;77468.53;40.0
1989;154937.07;45.0
1989;over;50.0
1990;3305.32;10.0
1990;6559.0;22.0
1990;16423.33;26.0
1990;32898.3;33.0
1990;82168.29;40.0
1990;164388.23;45.0
1990;over;50.0
1991;3511.91;10.0
1991;6972.17;22.0
1991;17404.6;26.0
1991;34912.49;33.0
1991;87177.92;40.0
1991;174407.49;45.0
1991;over;50.0
1997;3718.49;10.0
1997;7436.98;22.0
1997;15493.71;27.0
1997;30987.41;34.0
1997;77468.53;41.0
1997;154937.07;46.0
1997;over;51.0
1999;7746.85;18.5
1999;15493.71;26.5
1999;30987.41;33.5
1999;69721.68;39.5
1999;over;45.5
2000;10329.14;18.5
2000;15493.71;25.5
2000;30987.41;33.45
2000;69721.68;39.5
2000;over;45.5
2001;10329.14;18.0
2001;15493.71;24.0
2001;30987.41;32.0
2001;69721.68;39.0
2001;over;45.0
2002;10329.14;18.0
2002;15493.71;24.0
2002;30987.68;32.0
2002;69721.68;39.0
2002;over;45.0
2004;15000;23.0
2004;29000;29.0
2004;32600;31.0
2004;70000;39.0
2004;over;45.0
2005;26000;23.0
2005;33000;33.0
2005;100000;39.0
2005;over;43.0
2007;15000;23.0
2007;28000;27.0
2007;55000;38.0
2007;75000;41.0
2007;over;43.0
2022;15000;23.0
2022;28000;25.0
2022;50000;35.0
2022;over;43.0
2024;28000;23.0
2024;50000;35.0
2024;over;43.0
