Tipologia di imposta;Anno;Valore;Unita
IRPEF lavoro dipendente (irregolare);2010;;Entrate (milioni di euro)
IRPEF lavoro autonomo e impresa;2010;29292.0;Entrate (milioni di euro)
IRES;2010;8784.0;Entrate (milioni di euro)
IVA;2010;33658.0;Entrate (milioni di euro)
IRAP;2010;8254.0;Entrate (milioni di euro)
LOCAZIONI;2010;2306.0;Entrate (milioni di euro)
CANONE RAI;2010;755.0;Entrate (milioni di euro)
IMU;2010;;Entrate (milioni di euro)
Totale entrate tributarie;2010;;Entrate (milioni di euro)
Totale entrate tributarie al netto del lavoro dipendente;2010;;Entrate (milioni di euro)
Entrate contributive carico lavoratore dipendente;2010;;Entrate (milioni di euro)
Entrate contributive carico datore di lavoro;2010;;Entrate (milioni di euro)
Totale entrate contributive;2010;;Entrate (milioni di euro)
Totale entrate tributarie e contributive;2010;;Entrate (milioni di euro)
IRPEF lavoro dipendente (irregolare);2010;;Propensione (%)
IRPEF lavoro autonomo e impresa;2010;61.4;Propensione (%)
IRES;2010;24.1;Propensione (%)
IVA;2010;26.3;Propensione (%)
IRAP;2010;21.0;Propensione (%)
LOCAZIONI;2010;25.3;Propensione (%)
CANONE RAI;2010;30.4;Propensione (%)
IMU;2010;;Propensione (%)
Totale al netto del lavoro dipendente;2010;;Propensione (%)
Totale;2010;;Propensione (%)
IRPEF lavoro dipendente (irregolare);2011;3949.0;Entrate (milioni di euro)
IRPEF lavoro autonomo e impresa;2011;31470.0;Entrate (milioni di euro)
IRES;2011;10396.0;Entrate (milioni di euro)
IVA;2011;36339.0;Entrate (milioni di euro)
IRAP;2011;8863.0;Entrate (milioni di euro)
LOCAZIONI;2011;2380.0;Entrate (milioni di euro)
CANONE RAI;2011;765.0;Entrate (milioni di euro)
IMU;2011;;Entrate (milioni di euro)
Totale entrate tributarie;2011;;Entrate (milioni di euro)
Totale entrate tributarie al netto del lavoro dipendente;2011;;Entrate (milioni di euro)
Entrate contributive carico lavoratore dipendente;2011;2438.0;Entrate (milioni di euro)
Entrate contributive carico datore di lavoro;2011;8016.0;Entrate (milioni di euro)
Totale entrate contributive;2011;10454.0;Entrate (milioni di euro)
Totale entrate tributarie e contributive;2011;;Entrate (milioni di euro)
IRPEF lavoro dipendente (irregolare);2011;3.0;Propensione (%)
IRPEF lavoro autonomo e impresa;2011;63.4;Propensione (%)
IRES;2011;26.7;Propensione (%)
IVA;2011;27.7;Propensione (%)
IRAP;2011;22.1;Propensione (%)
LOCAZIONI;2011;26.5;Propensione (%)
CANONE RAI;2011;30.3;Propensione (%)
IMU;2011;;Propensione (%)
Totale al netto del lavoro dipendente;2011;;Propensione (%)
Totale;2011;;Propensione (%)
IRPEF lavoro dipendente (irregolare);2012;3887.0;Entrate (milioni di euro)
IRPEF lavoro autonomo e impresa;2012;29453.0;Entrate (milioni di euro)
IRES;2012;9958.0;Entrate (milioni di euro)
IVA;2012;36193.0;Entrate (milioni di euro)
IRAP;2012;8524.0;Entrate (milioni di euro)
LOCAZIONI;2012;1935.0;Entrate (milioni di euro)
CANONE RAI;2012;887.0;Entrate (milioni di euro)
IMU;2012;3970.0;Entrate (milioni di euro)
Totale entrate tributarie;2012;94807.0;Entrate (milioni di euro)
Totale entrate tributarie al netto del lavoro dipendente;2012;90920.0;Entrate (milioni di euro)
Entrate contributive carico lavoratore dipendente;2012;2478.0;Entrate (milioni di euro)
Entrate contributive carico datore di lavoro;2012;8077.0;Entrate (milioni di euro)
Totale entrate contributive;2012;10555.0;Entrate (milioni di euro)
Totale entrate tributarie e contributive;2012;105362.0;Entrate (milioni di euro)
IRPEF lavoro dipendente (irregolare);2012;2.9;Propensione (%)
IRPEF lavoro autonomo e impresa;2012;65.1;Propensione (%)
IRES;2012;28.8;Propensione (%)
IVA;2012;27.6;Propensione (%)
IRAP;2012;21.9;Propensione (%)
LOCAZIONI;2012;21.4;Propensione (%)
CANONE RAI;2012;33.1;Propensione (%)
IMU;2012;21.2;Propensione (%)
Totale al netto del lavoro dipendente;2012;32.4;Propensione (%)
Totale;2012;23.0;Propensione (%)
IRPEF lavoro dipendente (irregolare);2013;3975.0;Entrate (milioni di euro)
IRPEF lavoro autonomo e impresa;2013;30894.0;Entrate (milioni di euro)
IRES;2013;10956.0;Entrate (milioni di euro)
IVA;2013;34944.0;Entrate (milioni di euro)
IRAP;2013;8486.0;Entrate (milioni di euro)
