"MODEL","SCENARIO","REGION","VARIABLE","UNIT",2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
"AIM/CGE","SSP1-19","R5.2ASIA","Agricultural Demand|Crops","million t DM/yr",1045.142,1127.873,1274.2943,1617.3621000000003,2733.7214,3175.5033000000003,3783.4370000000004,4130.2623,4079.7007,4077.8173,3991.9962000000005
"AIM/CGE","SSP1-19","R5.2ASIA","Agricultural Demand|Crops|Energy","million t DM/yr",0.0,5.2135,27.0726,347.46909999999997,1682.1091999999999,2231.5225,3050.2795,3573.8981999999996,3627.8462,3759.638,3801.9323
"AIM/CGE","SSP1-19","R5.2ASIA","Agricultural Demand|Livestock","million t DM/yr",85.9985,94.1085,107.8967,118.39349999999999,125.9015,129.2055,128.1014,124.2384,118.04090000000001,110.1083,100.66940000000001
"AIM/CGE","SSP1-19","R5.2ASIA","Agricultural Production|Crops|Energy","million t DM/yr",0.0,0.0,3.8007000000000004,63.01780000000001,325.2468,436.83269999999993,603.2005,710.3154,722.6936,749.9685,759.0589000000001
"AIM/CGE","SSP1-19","R5.2ASIA","Agricultural Production|Crops|Non-Energy","million t DM/yr",1329.1994,1421.9173,1570.7293,1669.9784,1724.4562,1728.2473,1671.6719,1587.1166999999998,1477.9157000000002,1352.3225,1210.1356
"AIM/CGE","SSP1-19","R5.2ASIA","Agricultural Production|Livestock","million t DM/yr",82.3066,89.5957,101.9174,111.21039999999999,117.5984,120.2637,118.83610000000002,114.99300000000001,109.0503,101.55359999999999,92.7266
"AIM/CGE","SSP1-19","R5.2ASIA","Capacity|Electricity","GW",870.5189999999999,1123.4266,1698.0810000000001,3057.1818,5195.3382,6638.626899999999,7764.6987,7956.536900000001,7793.8089,7335.1703,6842.368399999999
"AIM/CGE","SSP1-19","R5.2ASIA","Capacity|Electricity|Biomass","GW",2.6481,2.7789,3.2045,16.775399999999998,94.3284,126.6773,181.3107,219.72469999999998,225.6361,234.28199999999998,236.40300000000002
"AIM/CGE","SSP1-19","R5.2ASIA","Capacity|Electricity|Coal","GW",523.7130999999999,668.8993,939.4544999999999,354.099,182.47099999999998,198.2002,75.34689999999999,44.78059999999999,28.071099999999998,25.0743,18.1287
"AIM/CGE","SSP1-19","R5.2ASIA","Capacity|Electricity|Gas","GW",81.9444,97.45089999999999,126.666,142.4866,102.3022,101.3183,68.1577,54.6101,43.4269,43.8115,37.2523
"AIM/CGE","SSP1-19","R5.2ASIA","Capacity|Electricity|Geothermal","GW",2.71,2.9541,3.5986,4.3867,5.3473,6.5184,7.9459,9.3097,10.3608,11.1074,11.5438
"AIM/CGE","SSP1-19","R5.2ASIA","Capacity|Electricity|Hydro","GW",174.6393,235.8228,387.66310000000004,553.4187,569.6650000000001,522.6876,529.8787,534.4841,528.6605999999999,511.71049999999997,491.74929999999995
"AIM/CGE","SSP1-19","R5.2ASIA","Capacity|Electricity|Nuclear","GW",41.6659,61.602999999999994,148.09199999999998,333.2608,393.3901,317.614,321.7708,321.8044,296.52340000000004,253.7559,214.97839999999997
"AIM/CGE","SSP1-19","R5.2ASIA","Capacity|Electricity|Oil","GW",40.3754,49.084599999999995,66.3661,79.5915,47.9658,42.5803,25.132199999999997,18.4981,13.894200000000001,13.6584,11.197200000000002
"AIM/CGE","SSP1-19","R5.2ASIA","Capacity|Electricity|Solar","GW",0.06559999999999999,0.2358,2.5182,318.2375,1073.7313,2023.0652,2759.3545,3017.6218,3104.6767000000004,3008.7669,2877.7732
"AIM/CGE","SSP1-19","R5.2ASIA","Capacity|Electricity|Solar|PV","GW",0.06559999999999999,0.2358,2.5182,318.2375,1073.7313,2023.0652,2759.3545,3017.6218,3104.6767000000004,3008.7669,2877.7732
"AIM/CGE","SSP1-19","R5.2ASIA","Capacity|Electricity|Wind","GW",2.7573,4.5972,20.518,1254.9254999999998,2726.1369,3299.9657,3795.8013,3735.7035000000005,3542.5591000000004,3233.0036,2943.3424000000005
"AIM/CGE","SSP1-19","R5.2ASIA","Capacity|Electricity|Wind|Onshore","GW",2.7573,4.5972,20.518,1254.9254999999998,2726.1369,3299.9657,3795.8013,3735.7035000000005,3542.5591000000004,3233.0036,2943.3424000000005
"AIM/CGE","SSP1-19","R5.2ASIA","Consumption","billion US$2005/yr",3517.9737,5179.6972,10286.187600000001,17682.380599999997,27107.6026,36147.94959999999,43656.8341,49915.217,54289.1866,57070.1749,58237.16
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|BC","Mt BC/yr",3.4664,2.9903,2.3944,1.3479999999999999,0.9747,0.714,0.6121000000000001,0.5337000000000001,0.46419999999999995,0.405,0.3532
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|CH4","Mt CH4/yr",142.3873,150.06060000000002,163.5931,53.43450000000001,38.3917,27.297500000000003,22.2982,19.714399999999998,17.4471,15.999099999999999,14.0706
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|CH4|Land Use","Mt CH4/yr",75.7053,79.597,86.2826,38.8013,28.522100000000002,20.4948,17.4418,15.8885,14.4276,13.4838,12.068999999999999
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|CO","Mt CO/yr",336.2946,317.9712,278.4671,203.4934,165.1617,133.14260000000002,119.22890000000001,107.1418,95.6046,85.0418,75.10820000000001
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|CO2","Mt CO2/yr",11425.5834,11634.6257,13065.351999999999,6451.2305,3054.1762,1051.9502,-116.17200000000001,-556.8149999999999,-754.3195,-841.5589,-916.6576
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|CO2|Carbon Capture and Storage","Mt CO2/yr",0.0,0.0,0.0,179.63320000000002,1082.905,2185.2106000000003,1730.0878,1633.2218,1504.9309,1496.9178,1420.5208
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|CO2|Carbon Capture and Storage|Biomass","Mt CO2/yr",0.0,0.0,0.0,1.9332,154.60559999999998,430.20730000000003,658.0234,791.4517,811.2677,839.4635999999999,844.5674
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|CO2|Fossil Fuels and Industry","Mt CO2/yr",8985.6725,10008.8152,11790.747500000001,6131.6627,3271.4353000000006,1678.8029,638.87,259.4755,82.29590000000003,-7.9353000000000105,-103.9171
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2439.911,1625.8105,1274.6045,319.5677,-217.259,-626.8526000000002,-755.0418999999999,-816.2905000000001,-836.6156000000001,-833.6236000000001,-812.7404
"AIM/CGE","SSP1-19","R5.2ASIA","Emissions|F-Gases","Mt CO2-equiv/yr",83.00399999999999,127.4349,220.95839999999998,156.19910000000002,43.0254,42.641799999999996,39.3085,35.795700000000004,32.009299999999996,28.009800000000002,23.5663
