"name","edition","proddate","idno","cntry","c2weight","mode","w2q2","w2q3","w2q4","w2q6","w2q7","w2q8","w2q9","w2q10","w2q11","w2q13","w2q14","w2q15","w2q16","w2q17","w2q19","w2q20","w2q21","w2q22","w2q23","w2q24","w2q25","w2admin","w2q27a","w2q27b","w2q27c","w2q27d","w2q27e","w2q27f","w2q28","w2q29","w2q30_1","w2q30_2","w2q30_3","w2q30_4","w2q30_5","w2q30_6","w2q30_7","w2q30_8","w2q31_1","w2q31_2","w2q31_3","w2q31_4","w2q31_5","w2q31_6","w2q31_7","w2q31_8","w2q32_1","w2q32_2","w2q32_3","w2q32_4","w2q32_5","w2q32_6","w2q33","w2q34","w2q35a","w2q35b","w2q35c","w2q37","w2q38","w2q39","w2q40","w2q41","w2q42","w2q43","w2q44","w2q45","w2q46","w2q47","w2q48","w2q49","w2q50","w2q51","w2q52","w2q53","w2q54","w2q55","w2q56","w2q57","w2q59","w2q60","w2q61","w2q62","w2q63","w2q65","w2q66","w2q68","w2q69","survlng","inwds","inwde","w2ininwe","w2seinwe","w2mpinwe","w2fwinwe","w2evinwe","w2indur","w2sedur","w2mpdur","w2fwdur","w2evsdur","intdur","lastansw","surveycomp","fdwrkinc","uagent","device","fl_42_do_socialeurope_basicincome1","fl_42_do_socialeurope_basicincome2","fl_42_do_socialeurope_basicincome3","fl_42_do_socialeurope_basicincome4","fl_42_do_socialeurope_basicincome5","fl_42_do_socialeurope_basicincome6","longitudinalfinancialwell_being_do_w2q41","longitudinalfinancialwell_being_do_w2q42","longitudinalfinancialwell_being_do_w2q43","longitudinalfinancialwell_being_do_w2q44","longitudinalfinancialwell_being_do_w2q45","longitudinalfinancialwell_being_do_w2q46","longitudinalfinancialwell_being_do_w2q47","evs2_do_w2q53","evs2_do_w2q54","evs2_do_w2q55","evs2_do_w2q56","evs2_do_w2q57","evs3_do_w2q58","evs3_do_w2q59","evs3_do_w2q60","evs3_do_w2q61","evs3_do_w2q62","evs3_do_w2q63","evs4_do_w2q64","evs4_do_w2q65","evs4_do_w2q66","evs5_do_w2q67","evs5_do_w2q68","evs5_do_w2q69","gndr","agea","eduyrs","eisced","netusoft","mnactic","hincfel","hinctnta","region"
"CRON2W2e01","1.0","27.03.2024",10048,"AT",0.8357192,4,3,3,3,6,7,8,9,2,9,8,6,3,4,4,66,66,66,66,66,6,6,3,66,66,2,66,66,66,3,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,1,66,66,7,2,2,2,1,2,1,3,2,3,4,4,4,2,2,7,8,2,4,3,2,4,8,2,6,8,4,9,7,7,2,"GER",2022-06-09 08:54:32,2022-06-09 09:21:42,2022-06-09 08:54:53,2022-06-09 09:04:28,2022-06-09 09:10:09,2022-06-09 09:13:16,2022-06-09 09:21:42,21,575,341,187,506,1630,"w2q69",100,1,"Mozilla/5.0 (Windows NT 5.1; rv:52.0) Gecko/20100101 Firefox/52.0",2,,,1,,,,7,5,6,3,2,4,1,2,5,3,4,1,1,2,3,4,6,5,1,2,3,1,2,3,9,66,11,3,4,6,1,10,"AT31"
"CRON2W2e01","1.0","27.03.2024",10167,"AT",2.5315256,3,2,2,2,8,8,10,8,2,8,5,5,5,4,4,66,66,66,66,66,6,6,6,66,66,66,66,66,0,3,8,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,66,66,1,1,2,2,1,1,1,4,1,4,4,4,4,3,3,9,9,2,3,3,3,2,8,2,5,9,5,8,8,5,2,"GER",2022-06-01 10:08:13,2022-06-01 10:26:47,2022-06-01 10:08:22,2022-06-01 10:13:28,2022-06-01 10:19:18,2022-06-01 10:21:47,2022-06-01 10:26:47,9,306,350,149,300,1114,"w2q69",100,1,"NodeJS",4,,,,,,1,7,6,3,5,2,1,4,1,4,3,5,2,1,2,3,6,5,4,1,3,2,1,3,2,1,73,11,3,5,6,1,10,"AT32"
"CRON2W2e01","1.0","27.03.2024",10190,"AT",0.6852544,3,1,9,9,5,5,5,9,3,9,8,3,6,4,4,66,66,66,66,66,6,6,3,66,66,3,66,66,66,4,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,9,66,66,7,2,2,2,1,2,2,4,2,9,3,9,3,2,2,7,5,1,3,1,5,5,5,5,5,5,5,5,8,10,2,"GER",2022-06-01 15:35:12,2022-06-01 17:16:23,2022-06-01 15:35:19,2022-06-01 17:03:13,2022-06-01 17:12:02,2022-06-01 17:13:35,2022-06-01 17:16:23,7,5274,529,93,168,6071,"w2q69",83.78378,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0",2,,,1,,,,2,4,7,5,6,1,3,3,4,5,1,2,1,2,3,4,5,6,1,2,3,1,3,2,2,41,13,6,5,1,2,77,"AT22"
"CRON2W2e01","1.0","27.03.2024",10200,"AT",0.30855504,3,9,9,9,5,5,5,7,2,6,5,5,6,3,3,66,66,66,66,66,6,6,3,66,66,5,66,66,66,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,9,9,66,66,8,9,2,2,1,1,2,1,1,1,1,2,2,2,2,5,6,2,4,2,4,3,6,6,6,6,6,5,5,2,4,"GER",2022-06-06 12:48:13,2022-06-06 13:01:35,2022-06-06 12:48:27,2022-06-06 12:52:34,2022-06-06 12:56:06,2022-06-06 12:58:22,2022-06-06 13:01:35,14,247,212,136,193,802,"w2q69",83.78378,1,"Mozilla/5.0 (Linux; Android 10; STK-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Mobile Safari/537.36",1,,,1,,,,3,7,4,6,5,1,2,5,4,1,3,2,1,2,3,5,4,6,1,2,3,1,2,3,2,55,17,5,5,1,2,5,"AT22"
"CRON2W2e01","1.0","27.03.2024",10202,"AT",0.41851178,3,3,3,4,1,3,10,3,1,4,4,5,0,3,3,66,66,66,66,66,6,6,4,66,66,66,0,66,66,1,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,1,66,66,3,1,2,2,2,2,2,2,2,3,4,3,3,3,1,8,10,5,4,3,5,1,0,0,0,0,0,8,8,10,3,"GER",2022-06-09 21:16:21,2022-06-09 21:24:56,2022-06-09 21:16:23,2022-06-09 21:19:55,2022-06-09 21:22:10,2022-06-09 21:22:59,2022-06-09 21:24:56,2,212,135,49,117,515,"w2q69",100,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36 Edg/102.0.1245.33",2,,,,1,,,3,2,7,4,6,1,5,2,4,5,1,3,1,2,3,4,6,5,1,3,2,1,2,3,1,35,14,5,5,1,1,3,"AT22"
"CRON2W2e01","1.0","27.03.2024",10237,"AT",3.2229173,4,4,4,4,3,4,4,7,2,7,7,7,3,3,3,66,66,66,66,66,6,6,4,66,66,66,5,66,66,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,66,66,8,2,2,2,1,2,2,5,2,4,4,4,4,3,3,8,9,2,3,4,4,2,10,5,5,5,7,8,5,5,2,"GER",2022-06-15 12:03:46,2022-06-15 12:24:33,2022-06-15 12:04:04,2022-06-15 12:11:13,2022-06-15 12:16:29,2022-06-15 12:19:07,2022-06-15 12:24:33,18,429,316,158,326,1247,"w2q69",100,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1",1,,,,1,,,3,7,1,5,2,4,6,5,4,2,1,3,1,2,3,5,6,4,1,3,2,1,3,2,1,55,12,3,4,1,1,77,"AT34"
"CRON2W2e01","1.0","27.03.2024",10238,"AT",3.6839557,3,3,3,3,7,7,8,8,3,8,7,6,8,2,4,66,66,66,66,66,6,6,5,66,66,66,66,6,66,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,66,66,1,2,2,2,1,1,1,1,1,3,1,3,3,2,3,7,7,1,5,1,5,5,7,7,8,8,8,10,6,3,4,"GER",2022-06-19 07:53:29,2022-06-19 08:13:02,2022-06-19 07:53:38,2022-06-19 07:59:47,2022-06-19 08:05:18,2022-06-19 08:08:24,2022-06-19 08:13:02,9,369,331,186,278,1173,"w2q69",100,1,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.124 Safari/537.36 Edg/102.0.1245.44",2,,,,,1,,4,3,2,1,5,6,7,1,4,2,3,5,1,2,3,6,5,4,1,2,3,1,3,2,2,65,12,2,5,6,1,7,"AT12"
"CRON2W2e01","1.0","27.03.2024",10296,"AT",0.41221172,3,3,3,3,6,6,6,9,3,9,9,9,9,2,3,66,66,66,66,66,6,6,3,66,66,10,66,66,66,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,66,66,8,2,1,2,1,1,3,4,3,2,1,2,3,2,2,2,7,1,5,4,5,5,9,6,8,8,6,7,8,2,2,"GER",2022-06-08 23:07:04,2022-06-08 23:27:18,2022-06-08 23:07:31,2022-06-08 23:14:26,2022-06-08 23:19:55,2022-06-08 23:22:27,2022-06-08 23:27:18,27,415,329,152,291,1214,"w2q69",100,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:100.0) Gecko/20100101 Firefox/100.0",2,,,1,,,,6,1,2,3,5,7,4,3,4,2,1,5,1,2,3,6,5,4,1,3,2,1,2,3,2,27,21,6,5,8,2,77,"AT31"
"CRON2W2e01","1.0","27.03.2024",10368,"AT",0.15434906,4,3,3,3,6,7,10,7,3,8,7,7,8,3,4,66,66,66,66,66,6,6,6,66,66,66,66,66,7,5,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,1,66,66,7,2,2,2,2,2,2,2,1,3,4,3,3,1,3,7,7,1,4,4,5,4,10,8,10,8,4,7,7,3,2,"GER",2022-06-06 13:48:10,2022-06-06 14:07:24,2022-06-06 13:48:14,2022-06-06 14:01:12,2022-06-06 14:03:49,2022-06-06 14:04:55,2022-06-06 14:07:24,4,778,157,66,149,1154,"w2q69",100,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36 Edg/102.0.1245.33",2,,,,,,1,7,4,5,1,6,2,3,2,4,5,1,3,1,2,3,6,4,5,1,2,3,1,2,3,2,35,20,7,5,1,2,6,"AT31"
"CRON2W2e01","1.0","27.03.2024",10370,"AT",1.3230551,3,3,3,3,7,7,7,10,3,9,6,5,10,4,4,66,66,66,66,66,6,6,1,6,66,66,66,66,66,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,66,66,1,2,2,2,1,3,2,2,1,3,3,3,4,2,3,4,8,2,5,1,1,5,7,7,10,10,10,5,5,0,1,"GER",2022-06-09 19:45:25,2022-06-09 20:01:07,2022-06-09 19:45:44,2022-06-09 19:50:29,2022-06-09 19:54:34,2022-06-09 19:56:33,2022-06-09 20:01:07,19,285,245,119,274,942,"w2q69",100,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:101.0) Gecko/20100101 Firefox/101.0",2,1,,,,,,2,3,5,1,6,4,7,2,4,1,3,5,1,2,3,5,4,6,1,2,3,1,2,3,2,20,14,4,5,2,3,8,"AT12"
