"name","edition","proddate","idno","cntry","c2weight","mode","w5q1","w5q2","w5q3","w5q4","w5q5","w5q6","w5q7","w5q8","w5q9","w5q10","w5q11","w5q12","w5q13","w5q14","w5q15","w5q16","w5q17","w5q18","w5q19","w5q20","w5q21","w5q22","w5q23","w5q24","w5q25","w5q26","w5q27","w5q28","w5q29","w5q30","w5q31","w5q32","w5q33","w5q34","w5q35","w5q36","w5q37","w5q38","w5q39","w5q40","w5q41","w5q42","w5q43","w5q44","w5q45","w5admin","w5q46","w5q47","w5q48","w5q49","w5q50","w5q51","w5q52","w5q53","w5q54","w5q55","w5q56","w5q57","w5q58","w5q69b","w5q68b","w5q67b","w5q66b","w5q69a","w5q68a","w5q67a","w5q66a","w5q65","w5q64","w5q63","w5q62","w5q61","w5q60","w5q59","w5q70","w5q71","w5q72","w5q73","w5q74","w5q75","w5q76","w5q77","w5q78","w5q79","w5q80","w5q81","w5q82","survlng","inwds","inwde","w5ininwe","w5tsinwe","w5osinwe","w5cdinwe","w5ipinwe","w5vainwe","w5scinwe","w5fwinwe","w5indur","w5tsdur","w5ostdur","w5covdur","w5incdur","w5vacdur","w5scdur","w5findur","intdur","lastansw","surveycomp","fdwrkinc","uagent","device","fl_21_do_incomegeneratingprocessa","fl_21_do_incomegeneratingprocessb","fl_25_do_surveyclimatea","fl_25_do_surveyclimateb","longitudinalfinancialwell_being_do_w5q73","longitudinalfinancialwell_being_do_w5q74","longitudinalfinancialwell_being_do_w5q75","longitudinalfinancialwell_being_do_w5q76","longitudinalfinancialwell_being_do_w5q77","longitudinalfinancialwell_being_do_w5q78","longitudinalfinancialwell_being_do_w5q79","gndr","agea","eduyrs","eisced","netusoft","mnactic","hincfel","hinctnta","region"
"CRON2W5e01","1.0","28.03.2024",10048,"AT",0.74037296,4,7,9,9,8,9,9,9,8,9,8,2,99,8,10,4,1,1,0,0,2,0,0,0,0,9,4,3,2,0,0,2,5,5,3,2,5,1,2,4,2,2,2,1,6,6,1,1,1,3,5,5,5,4,4,2,4,4,3,4,6,6,6,6,0,1,0,1,1,3,3,4,4,6,1,5,6,3,1,2,3,2,4,4,4,4,1,4,"GER",2022-11-26 13:33:24,2022-11-26 13:58:05,2022-11-26 13:33:36,2022-11-26 13:38:06,2022-11-26 13:41:56,2022-11-26 13:46:13,2022-11-26 13:52:10,2022-11-26 13:54:32,2022-11-26 13:55:03,2022-11-26 13:57:42,12,270,230,257,357,142,31,159,1458,"w5q84",97.46835,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2,1,,1,,3,2,7,4,6,5,1,9,66,11,3,4,6,1,10,"AT31"
"CRON2W5e01","1.0","28.03.2024",10167,"AT",2.2317126,3,8,8,8,7,9,10,10,10,9,10,9,9,10,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,1,1,3,1,1,1,1,1,1,1,6,6,2,2,2,2,6,7,6,3,4,2,4,4,2,2,6,6,6,6,1,1,1,1,1,4,0,4,0,6,1,5,5,5,2,1,3,1,4,4,4,4,3,3,"GER",2022-11-30 11:56:11,2022-11-30 12:18:29,2022-11-30 11:56:23,2022-11-30 11:59:57,2022-11-30 12:02:28,2022-11-30 12:06:18,2022-11-30 12:12:37,2022-11-30 12:14:58,2022-11-30 12:15:46,2022-11-30 12:18:05,12,214,151,230,379,141,48,139,1314,"w5q84",100,1,"NodeJS",4,,1,1,,1,2,7,4,3,6,5,1,73,11,3,5,6,1,10,"AT32"
"CRON2W5e01","1.0","28.03.2024",10190,"AT",0.64790255,3,10,9,9,10,10,10,10,10,10,7,99,8,10,10,0,3,1,0,1,1,1,0,0,0,0,4,0,0,0,0,2,3,2,3,3,9,1,3,3,3,3,2,1,7,7,2,1,1,2,9,1,9,9,9,9,9,9,9,9,6,6,6,6,1,9,1,0,1,4,4,4,0,6,1,1,4,4,2,1,3,2,2,2,2,3,2,3,"GER",2022-11-23 10:36:09,2022-11-23 10:54:47,2022-11-23 10:36:17,2022-11-23 10:38:31,2022-11-23 10:43:39,2022-11-23 10:48:37,2022-11-23 10:51:26,2022-11-23 10:52:49,2022-11-23 10:53:04,2022-11-23 10:54:34,8,134,308,298,169,83,15,90,1105,"w5q84",86.07595,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:107.0) Gecko/20100101 Firefox/107.0",2,,1,1,,1,6,5,3,2,7,4,2,41,13,6,5,1,2,77,"AT22"
"CRON2W5e01","1.0","28.03.2024",10200,"AT",0.31760067,3,6,7,6,6,6,6,6,6,6,7,4,5,7,6,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,3,3,3,1,3,3,3,3,2,1,6,6,1,1,2,2,3,4,4,3,4,3,4,3,3,3,6,6,6,6,1,1,1,1,1,3,3,3,3,6,1,2,2,2,1,2,1,1,1,1,1,2,2,3,"GER",2022-12-06 06:32:06,2022-12-06 06:46:35,2022-12-06 06:32:22,2022-12-06 06:34:34,2022-12-06 06:36:42,2022-12-06 06:39:51,2022-12-06 06:43:18,2022-12-06 06:44:40,2022-12-06 06:44:59,2022-12-06 06:46:19,16,132,128,189,207,82,19,80,853,"w5q84",100,1,"Mozilla/5.0 (Linux; Android 10; STK-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Mobile Safari/537.36",1,1,,1,,5,7,4,2,1,6,3,2,55,17,5,5,1,2,5,"AT22"
"CRON2W5e01","1.0","28.03.2024",10237,"AT",3.1311996,4,7,7,7,5,5,5,5,5,5,5,5,5,10,8,5,1,1,1,1,0,1,1,1,1,0,2,0,0,0,0,3,5,5,3,6,4,1,2,1,3,3,1,1,6,6,1,2,2,3,4,5,4,1,3,2,3,3,3,3,0,0,0,1,6,6,6,6,2,2,2,2,0,6,1,3,5,3,3,2,4,2,4,4,3,4,2,3,"GER",2022-11-23 09:12:46,2022-11-23 09:38:50,2022-11-23 09:12:53,2022-11-23 09:16:35,2022-11-23 09:19:50,2022-11-23 09:25:26,2022-11-23 09:31:10,2022-11-23 09:34:57,2022-11-23 09:35:36,2022-11-23 09:38:18,7,222,195,336,344,227,39,162,1532,"w5q84",100,1,"NodeJS",4,1,,,1,2,3,1,4,6,5,7,1,55,12,3,4,1,1,77,"AT34"
"CRON2W5e01","1.0","28.03.2024",10238,"AT",3.5732186,3,7,8,7,7,7,7,8,7,6,6,10,3,10,10,6,2,1,0,1,0,1,1,0,0,1,2,2,0,0,0,2,3,7,1,1,3,1,3,3,3,3,2,1,6,6,1,9,2,3,0,4,4,5,3,3,3,3,3,2,6,6,6,6,1,1,1,1,1,2,4,4,2,6,1,4,7,1,2,1,2,1,4,2,4,3,2,3,"GER",2022-11-24 10:19:00,2022-11-24 10:39:57,2022-11-24 10:19:14,2022-11-24 10:22:06,2022-11-24 10:24:34,2022-11-24 10:29:16,2022-11-24 10:33:40,2022-11-24 10:36:37,2022-11-24 10:37:11,2022-11-24 10:39:40,14,172,148,282,264,177,34,149,1240,"w5q84",98.73418,1,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52",2,1,,,1,2,5,3,6,1,4,7,2,65,12,2,5,6,1,7,"AT12"
"CRON2W5e01","1.0","28.03.2024",10296,"AT",0.41555,3,7,7,7,5,5,8,8,7,7,7,5,8,8,8,7,3,3,3,4,4,2,0,2,0,0,3,0,0,0,0,5,6,3,1,4,3,3,3,3,4,4,3,1,5,5,2,1,1,2,4,5,5,3,3,2,4,4,3,3,1,1,1,1,6,6,6,6,2,4,3,1,2,6,1,5,5,4,2,2,3,3,2,9,1,3,1,3,"GER",2022-12-01 03:29:49,2022-12-01 03:51:42,2022-12-01 03:29:53,2022-12-01 03:32:42,2022-12-01 03:36:14,2022-12-01 03:41:06,2022-12-01 03:46:05,2022-12-01 03:48:54,2022-12-01 03:49:27,2022-12-01 03:51:25,4,169,212,292,299,169,33,118,1296,"w5q84",98.73418,1,"Mozilla/5.0 (Linux; Android 11; SM-G998B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36",1,,1,1,,4,6,2,1,7,5,3,2,27,21,6,5,8,2,77,"AT31"
"CRON2W5e01","1.0","28.03.2024",10368,"AT",0.15892226,4,8,8,9,5,7,10,7,7,7,7,5,5,4,10,4,2,1,0,0,0,1,0,0,0,3,4,0,0,0,0,4,3,4,3,1,4,1,2,1,2,2,2,1,5,5,1,2,1,2,5,1,4,4,4,3,4,4,2,3,0,0,0,1,6,6,6,6,2,2,4,2,4,6,1,7,7,2,1,1,2,1,3,2,1,4,4,3,"GER",2022-11-23 17:59:45,2022-11-23 18:10:19,2022-11-23 17:59:49,2022-11-23 18:01:53,2022-11-23 18:03:17,2022-11-23 18:05:44,2022-11-23 18:08:08,2022-11-23 18:09:07,2022-11-23 18:09:17,2022-11-23 18:10:12,4,124,84,147,144,59,10,55,627,"w5q84",100,1,"Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-G991B) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/19.0 Chrome/102.0.5005.125 Mobile Safari/537.36",1,1,,,1,7,1,5,6,2,3,4,2,35,20,7,5,1,2,6,"AT31"
"CRON2W5e01","1.0","28.03.2024",10370,"AT",1.3156778,3,10,9,8,9,8,10,5,6,7,8,2,0,10,10,1,4,1,3,1,0,1,0,0,0,1,3,0,0,0,0,5,6,5,5,5,3,3,1,1,1,1,2,1,6,5,2,2,1,2,6,2,7,4,1,4,1,5,5,5,6,6,6,6,1,1,1,1,1,4,4,4,0,6,1,4,5,7,1,2,2,1,4,4,4,3,2,3,"GER",2022-11-28 15:14:59,2022-12-07 14:30:13,2022-11-28 15:16:07,2022-12-07 14:21:15,2022-12-07 14:22:49,2022-12-07 14:25:08,2022-12-07 14:27:32,2022-12-07 14:28:26,2022-12-07 14:28:46,2022-12-07 14:30:00,68,774308,94,139,144,54,20,74,774901,"w5q84",100,1,"Mozilla/5.0 (Linux; Android 8.0.0; RNE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Mobile Safari/537.36 (Ecosia android@101.0.4951.41)",1,,1,,1,6,7,5,3,1,4,2,2,20,14,4,5,2,3,8,"AT12"
"CRON2W5e01","1.0","28.03.2024",10455,"AT",0.35658327,3,4,7,99,7,7,7,7,6,7,5,4,6,7,99,5,3,2,3,2,0,2,1,0,1,2,4,3,2,2,2,3,4,3,3,3,3,2,5,3,2,3,2,2,5,5,1,3,2,2,5,4,4,4,3,3,3,3,3,1,6,6,6,6,0,1,1,1,1,2,3,2,2,6,1,4,4,4,3,1,2,1,4,3,3,5,2,3,"GER",2022-12-01 10:37:03,2022-12-01 10:47:11,2022-12-01 10:37:08,2022-12-01 10:38:32,2022-12-01 10:40:16,2022-12-01 10:42:27,2022-12-01 10:44:27,2022-12-01 10:45:29,2022-12-01 10:45:48,2022-12-01 10:46:59,5,84,104,131,120,62,19,71,596,"w5q84",97.46835,1,"Mozilla/5.0 (Linux; Android 11; SM-A405FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36",1,1,,1,,1,7,4,6,5,2,3,1,51,14,5,4,1,1,7,"AT21"
